passengers,vehicles,vehicle speed,x-dim,y-dim,time horizon,update interval,immediate pickup penalty,reassignment penalty,waiting penalty,pass1 penalty,pass2 penalty,rideshare flat penalty,rideshares,run time,number served,empty km 1,empty km 2,total km,average wait,wait times
69,28,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,2.000000000000001,True,1660.0,69,98.35651119766979,50.84956941941574,372.0407447443911,195.79710144927537,"[0, 0, 50.0, 290.0, 0, 40.0, 40.0, 0, 30.0, 40.0, 0, 0, 160.0, 0, 0, 0, 0, 210.0, 50.0, 220.0, 0, 20.0, 270.0, 0, 40.0, 100.0, 0, 130.0, 0, 70.0, 0, 210.0, 0, 0, 210.0, 80.0, 0, 0, 30.0, 0, 20.0, 30.0, 180.0, 0, 0, 250.0, 130.0, 50.0, 0, 50.0, 40.0, 0, 20.0, 200.0, 30.0, 30.0, 50.0, 10.0, 0, 0, 260.0, 250.0, 40.0, 0, 20.0, 0, 40.0, 50.0, 110.0]"
69,28,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,2.100000000000001,True,1480.0,69,87.9594560008391,54.90633344350042,362.9251700546263,186.95652173913044,"[0, 0, 50.0, 290.0, 0, 40.0, 40.0, 0, 30.0, 40.0, 0, 0, 160.0, 0, 0, 0, 0, 210.0, 50.0, 270.0, 0, 20.0, 250.0, 0, 40.0, 220.0, 0, 130.0, 0, 70.0, 0, 210.0, 0, 0, 210.0, 80.0, 0, 0, 30.0, 0, 20.0, 30.0, 180.0, 0, 0, 100.0, 130.0, 50.0, 0, 50.0, 40.0, 0, 20.0, 200.0, 30.0, 30.0, 50.0, 10.0, 0, 0, 260.0, 250.0, 40.0, 0, 20.0, 0, 40.0, 50.0, 110.0]"
69,28,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,2.200000000000001,True,1480.0,69,96.64561039750124,50.346302494702115,367.0417228088955,194.7826086956522,"[0, 0, 50.0, 290.0, 0, 40.0, 40.0, 0, 30.0, 40.0, 0, 0, 160.0, 0, 0, 0, 0, 180.0, 50.0, 270.0, 0, 20.0, 260.0, 0, 40.0, 220.0, 0, 130.0, 0, 70.0, 0, 210.0, 0, 0, 100.0, 80.0, 0, 0, 30.0, 0, 20.0, 30.0, 40.0, 0, 0, 250.0, 130.0, 50.0, 0, 50.0, 40.0, 0, 20.0, 200.0, 30.0, 30.0, 50.0, 10.0, 0, 0, 210.0, 250.0, 40.0, 0, 20.0, 0, 280.0, 50.0, 110.0]"
69,28,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,2.300000000000001,True,1510.0,69,93.30487382284674,53.280436550394974,364.45373385678465,195.2173913043478,"[0, 0, 50.0, 320.0, 0, 40.0, 40.0, 0, 30.0, 40.0, 0, 0, 160.0, 0, 0, 0, 0, 210.0, 50.0, 270.0, 0, 20.0, 180.0, 0, 40.0, 30.0, 0, 130.0, 0, 70.0, 0, 210.0, 0, 0, 210.0, 100.0, 0, 0, 30.0, 0, 20.0, 80.0, 40.0, 0, 0, 250.0, 130.0, 50.0, 0, 50.0, 40.0, 0, 20.0, 200.0, 30.0, 30.0, 50.0, 10.0, 0, 0, 260.0, 250.0, 40.0, 0, 20.0, 0, 290.0, 50.0, 110.0]"
69,28,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,2.4000000000000012,True,1400.0,69,92.80616211418318,60.056963765750936,369.54375476890976,202.17391304347825,"[0, 0, 50.0, 320.0, 0, 40.0, 40.0, 0, 30.0, 40.0, 0, 0, 160.0, 0, 0, 0, 0, 210.0, 50.0, 270.0, 0, 20.0, 250.0, 0, 40.0, 30.0, 0, 130.0, 0, 70.0, 0, 210.0, 0, 0, 210.0, 100.0, 0, 0, 30.0, 0, 20.0, 80.0, 40.0, 0, 0, 180.0, 130.0, 50.0, 0, 50.0, 40.0, 0, 20.0, 200.0, 30.0, 30.0, 50.0, 10.0, 0, 0, 320.0, 250.0, 40.0, 0, 20.0, 0, 290.0, 50.0, 110.0]"
69,28,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,2.5000000000000013,True,1480.0,69,89.12285726091902,61.06650469128465,367.2280510093815,195.36231884057972,"[0, 0, 50.0, 310.0, 0, 40.0, 40.0, 0, 30.0, 40.0, 0, 0, 160.0, 0, 0, 0, 0, 210.0, 50.0, 270.0, 0, 20.0, 250.0, 0, 40.0, 30.0, 0, 130.0, 0, 70.0, 0, 210.0, 0, 0, 210.0, 100.0, 0, 0, 30.0, 0, 20.0, 50.0, 40.0, 0, 0, 180.0, 130.0, 50.0, 0, 70.0, 40.0, 0, 20.0, 220.0, 30.0, 30.0, 50.0, 10.0, 0, 0, 260.0, 250.0, 40.0, 0, 20.0, 0, 290.0, 50.0, 80.0]"
69,28,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,2.6000000000000014,True,1480.0,69,88.84895857953163,62.62078519234058,362.5157677564676,194.92753623188406,"[0, 0, 50.0, 310.0, 0, 40.0, 40.0, 0, 30.0, 40.0, 0, 0, 160.0, 0, 0, 0, 0, 210.0, 50.0, 270.0, 0, 20.0, 250.0, 0, 40.0, 30.0, 0, 130.0, 0, 70.0, 0, 210.0, 0, 0, 210.0, 100.0, 0, 0, 30.0, 0, 20.0, 50.0, 40.0, 0, 0, 180.0, 130.0, 50.0, 0, 70.0, 40.0, 0, 20.0, 220.0, 30.0, 30.0, 50.0, 10.0, 0, 0, 260.0, 250.0, 40.0, 0, 20.0, 0, 290.0, 50.0, 80.0]"
69,28,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,2.7000000000000015,True,1440.0,69,97.49901661637307,63.08257574353463,383.7545565554832,220.57971014492753,"[0, 0, 50.0, 290.0, 0, 40.0, 40.0, 0, 30.0, 40.0, 0, 0, 290.0, 0, 0, 0, 0, 210.0, 40.0, 50.0, 0, 20.0, 250.0, 0, 40.0, 30.0, 0, 130.0, 0, 70.0, 0, 50.0, 0, 0, 210.0, 180.0, 0, 0, 30.0, 0, 20.0, 50.0, 40.0, 0, 0, 230.0, 260.0, 80.0, 0, 50.0, 270.0, 0, 20.0, 70.0, 30.0, 30.0, 50.0, 10.0, 0, 0, 260.0, 210.0, 40.0, 0, 20.0, 0, 310.0, 50.0, 100.0]"
69,28,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,2.8000000000000016,True,1670.0,69,99.26308276044007,59.29335314189833,373.03084729514603,211.0144927536232,"[0, 0, 50.0, 250.0, 0, 40.0, 40.0, 0, 30.0, 40.0, 0, 0, 290.0, 0, 0, 0, 0, 50.0, 40.0, 250.0, 0, 20.0, 320.0, 0, 40.0, 30.0, 0, 130.0, 0, 70.0, 0, 50.0, 0, 0, 210.0, 80.0, 0, 0, 30.0, 0, 20.0, 50.0, 40.0, 0, 0, 230.0, 180.0, 70.0, 0, 50.0, 270.0, 0, 20.0, 210.0, 30.0, 30.0, 50.0, 10.0, 0, 0, 310.0, 290.0, 40.0, 0, 20.0, 0, 210.0, 50.0, 100.0]"
69,28,0.016666666666666666,10.0,10.0,10800.0,10.0,1,1.0,0.05,1.0,1.0,2.9000000000000017,True,1200.0,69,95.65140249003139,64.80098029867497,365.4298141232911,211.8840579710145,"[0, 0, 50.0, 310.0, 0, 40.0, 40.0, 0, 30.0, 40.0, 0, 0, 290.0, 0, 0, 0, 0, 230.0, 40.0, 250.0, 0, 20.0, 250.0, 0, 40.0, 30.0, 0, 100.0, 0, 70.0, 0, 50.0, 0, 0, 210.0, 80.0, 0, 0, 30.0, 0, 20.0, 50.0, 130.0, 0, 0, 50.0, 270.0, 70.0, 0, 50.0, 270.0, 0, 20.0, 210.0, 30.0, 30.0, 50.0, 10.0, 0, 0, 260.0, 290.0, 40.0, 0, 20.0, 0, 200.0, 50.0, 40.0]"
